TeamId,TeamName,SubmissionDate,Score
365138,EndInTears,"2016-08-30 08:58:56",0.14864
365138,EndInTears,"2016-08-30 11:24:26",0.14747
365138,EndInTears,"2016-08-30 11:34:21",0.14472
365247,Dawny33,"2016-08-30 12:52:18",0.40890
365245,InsanePro,"2016-08-30 13:04:13",0.23546
365243,"Ruslan Khalikov","2016-08-30 13:28:39",0.45997
365266,DocH,"2016-08-30 13:54:13",0.40890
365243,"Ruslan Khalikov","2016-08-30 14:11:55",0.14818
365266,DocH,"2016-08-30 14:29:21",0.26415
382249,Aman|Meicheng,"2016-08-30 15:37:15",0.13569
365328,"Rob Wishart","2016-08-30 17:14:10",0.40890
365243,"Ruslan Khalikov","2016-08-30 17:25:47",0.14572
365334,DATARiders,"2016-08-30 17:39:00",0.15587
365125,"Alexandru Papiu","2016-08-30 18:21:47",0.13317
365347,JohanP,"2016-08-30 18:23:08",0.21539
365325,AlexKH,"2016-08-30 18:23:51",7.07361
365350,wjks,"2016-08-30 18:39:56",0.38878
365350,wjks,"2016-08-30 18:56:32",0.25085
365347,JohanP,"2016-08-30 19:10:55",0.20874
365347,JohanP,"2016-08-30 19:27:58",0.19859
365350,wjks,"2016-08-30 19:31:47",0.19088
365365,"Ismail Uddin ","2016-08-30 19:32:25",0.15611
365395,"Brandon Shurick","2016-08-30 21:43:13",0.41427
365397,LaurenChun,"2016-08-30 21:46:20",0.24564
365401,KyleWahlgren,"2016-08-30 22:19:19",0.23885
365395,"Brandon Shurick","2016-08-30 22:25:09",0.12325
365451,"Mike Hall","2016-08-31 00:38:48",0.22621
365479,PaulVaartjes,"2016-08-31 01:36:36",0.28112
365478,"David Low","2016-08-31 01:36:55",0.12766
382249,Aman|Meicheng,"2016-08-31 05:04:33",0.13298
382249,Aman|Meicheng,"2016-08-31 05:09:52",0.12965
365138,EndInTears,"2016-08-31 05:40:22",0.14326
365243,"Ruslan Khalikov","2016-08-31 05:56:36",0.14566
365138,EndInTears,"2016-08-31 06:04:29",0.13985
365568,広瀬将行,"2016-08-31 07:48:53",0.25392
365582,labros,"2016-08-31 08:36:32",0.15110
365451,"Mike Hall","2016-08-31 08:47:56",0.21523
365587,"Julien Heiduk","2016-08-31 09:24:36",0.15703
365587,"Julien Heiduk","2016-08-31 09:28:31",0.14685
365325,AlexKH,"2016-08-31 09:44:19",0.82417
365582,labros,"2016-08-31 09:47:21",0.14959
365243,"Ruslan Khalikov","2016-08-31 09:48:59",0.13673
365587,"Julien Heiduk","2016-08-31 09:55:20",0.14547
365587,"Julien Heiduk","2016-08-31 09:57:55",0.14151
365587,"Julien Heiduk","2016-08-31 09:59:07",0.14067
365325,AlexKH,"2016-08-31 10:20:56",0.16269
365633,Gabriel,"2016-08-31 11:26:24",0.19472
365243,"Ruslan Khalikov","2016-08-31 11:58:59",0.13584
365590,CoMartel,"2016-08-31 12:17:00",9.45688
365590,CoMartel,"2016-08-31 12:22:51",0.32337
365590,CoMartel,"2016-08-31 12:30:38",0.14225
365590,CoMartel,"2016-08-31 12:45:57",0.13653
365668,Alliance,"2016-08-31 13:24:49",0.14443
365671,cGonAgu,"2016-08-31 13:29:17",0.13586
365633,Gabriel,"2016-08-31 14:29:16",0.19388
365245,InsanePro,"2016-08-31 14:46:58",0.14816
365690,"Bojan Tunguz","2016-08-31 14:49:24",0.14664
365690,"Bojan Tunguz","2016-08-31 14:49:57",0.14067
382249,Aman|Meicheng,"2016-08-31 14:52:01",0.12939
365582,labros,"2016-08-31 15:22:02",0.13384
365138,EndInTears,"2016-08-31 15:30:19",0.13615
365690,"Bojan Tunguz","2016-08-31 16:36:15",0.12850
365690,"Bojan Tunguz","2016-08-31 16:41:51",0.12830
365730,hiihaaz,"2016-08-31 17:19:55",0.26579
365734,EnricGilabert,"2016-08-31 17:45:01",0.13504
365743,"Stephanie Kirmer","2016-08-31 17:52:28",0.13140
365752,"Ryan Maunu","2016-08-31 18:21:54",0.54417
365752,"Ryan Maunu","2016-08-31 18:29:25",0.16936
365763,"Paulo Pinto","2016-08-31 18:51:53",9.53944
365763,"Paulo Pinto","2016-08-31 18:57:26",0.16043
365763,"Paulo Pinto","2016-08-31 19:12:15",0.12632
365800,"Shubham Goel","2016-08-31 20:13:10",0.12941
365822,Valentino1992,"2016-08-31 21:00:50",0.13821
365822,Valentino1992,"2016-08-31 21:20:40",0.13572
365822,Valentino1992,"2016-08-31 21:36:58",0.13530
365835,"Eugene Zubanov","2016-08-31 21:37:18",0.14844
365844,FS_BM_TEAM_PLAYERS,"2016-08-31 21:56:00",0.40890
365668,Alliance,"2016-08-31 22:10:35",0.14398
365847,NetoAlcides,"2016-08-31 22:19:35",0.40890
365671,cGonAgu,"2016-08-31 22:41:18",0.13388
365395,"Brandon Shurick","2016-08-31 23:25:22",0.12275
365395,"Brandon Shurick","2016-08-31 23:47:21",0.12261
365743,"Stephanie Kirmer","2016-09-01 00:17:19",0.12621
365451,"Mike Hall","2016-09-01 00:19:41",0.16725
365865,Tilii,"2016-09-01 00:23:35",0.13017
365865,Tilii,"2016-09-01 00:27:54",0.12921
382249,Aman|Meicheng,"2016-09-01 01:43:09",0.12928
365668,Alliance,"2016-09-01 01:47:05",0.13580
365892,"Saeed Mirshekari","2016-09-01 02:08:19",0.31136
365892,"Saeed Mirshekari","2016-09-01 02:15:06",0.25139
365582,labros,"2016-09-01 02:26:49",0.13113
382249,Aman|Meicheng,"2016-09-01 02:30:14",0.12605
365912,"Radu Stoicescu","2016-09-01 03:13:43",0.12378
